"measure","region","cohort","n","mean_z","sd_z"
"thickness","lh_pericalcarine_thickness","patient",442,-0.231050708685668,1.41586681669541
"area","lh_postcentral_area","patient",442,0.103885190071195,1.12732406575224
"thickness","lh_postcentral_thickness","patient",442,-0.428448691977835,1.15063848201142
"area","lh_posteriorcingulate_area","patient",442,-0.210253849320609,1.00563723824728
"thickness","lh_posteriorcingulate_thickness","patient",442,-0.0747294304591505,1.15314223996394
"area","lh_precentral_area","patient",442,0.0788759925072793,1.11493353380576
"thickness","lh_precentral_thickness","patient",442,-0.605548960259348,1.27179591504241
"area","lh_precuneus_area","patient",442,0.0572219516315837,1.00120011424827
"thickness","lh_precuneus_thickness","patient",442,-0.313480563130988,1.03086534350388
"area","lh_rostralanteriorcingulate_area","patient",442,-0.0522467832904473,1.12908040514973
"thickness","lh_rostralanteriorcingulate_thickness","patient",442,0.299816225018211,0.953463627474169
"area","lh_rostralmiddlefrontal_area","patient",442,0.192705915759779,1.18140846904538
"thickness","lh_rostralmiddlefrontal_thickness","patient",442,0.680575571812883,1.16802675058913
"area","lh_superiorfrontal_area","patient",442,0.179565635780118,1.2014313298819
"thickness","lh_superiorfrontal_thickness","patient",442,-0.131138604503586,1.08273722460157
"area","lh_superiorparietal_area","patient",442,0.152486473569337,1.20955834922053
"thickness","lh_superiorparietal_thickness","patient",442,-0.651312410464749,1.0264138485005
"area","lh_superiortemporal_area","patient",442,0.0643024136383852,1.17072059167438
"thickness","lh_superiortemporal_thickness","patient",442,-0.184250933816336,1.10228745578368
"area","lh_supramarginal_area","patient",442,0.162668395956984,1.2281876920174
"thickness","lh_supramarginal_thickness","patient",442,-0.362174787182493,1.11192589011092
"area","lh_temporalpole_area","patient",442,-0.271242208813837,1.37459608510449
"thickness","lh_temporalpole_thickness","patient",442,-0.170962122875534,1.11692287017198
"area","lh_transversetemporal_area","patient",442,0.259283414899836,1.16450317384174
"thickness","lh_transversetemporal_thickness","patient",442,-0.0435682260257677,1.16161852148234
"area","rh_bankssts_area","patient",442,-0.110964676521475,1.03831435660112
"thickness","rh_bankssts_thickness","patient",442,0.388363303745277,1.2683386658233
"area","rh_caudalanteriorcingulate_area","patient",442,-0.0187337928728856,1.02397180873739
"thickness","rh_caudalanteriorcingulate_thickness","patient",442,0.00432145086317876,1.2112041635252
"area","rh_caudalmiddlefrontal_area","patient",442,0.064779037612845,1.03728712161589
"thickness","rh_caudalmiddlefrontal_thickness","patient",442,0.0759812054126851,1.2155437653647
"area","rh_cuneus_area","patient",442,-0.393291865808583,1.25350861999376
"thickness","rh_cuneus_thickness","patient",442,0.0206487748239723,1.06224601286844
