"algorithm","measure","region","n","mean_z","sd_z"
"GAMLSS","thickness","lh_parsorbitalis_thickness",100,0.00171756809537851,0.982732802836974
"GAMLSS","area","lh_parstriangularis_area",100,-0.00244896639163694,1.05986993276881
"GAMLSS","thickness","lh_parstriangularis_thickness",100,0.0022594544779723,0.939088226658117
"GAMLSS","area","lh_pericalcarine_area",100,0.00394702008928348,0.956169955583798
"GAMLSS","thickness","lh_pericalcarine_thickness",100,-0.00410950607500198,1.21693515398454
"GAMLSS","area","lh_postcentral_area",100,0.00188113118875433,1.09728484188894
"GAMLSS","thickness","lh_postcentral_thickness",100,-0.0029118626535854,0.992812459577751
"GAMLSS","area","lh_posteriorcingulate_area",100,-0.00534285205979674,1.05695871078706
"GAMLSS","thickness","lh_posteriorcingulate_thickness",100,0.00169783109577269,0.943000755627449
"GAMLSS","area","lh_precentral_area",100,0.00542049687062281,1.02719572935921
"GAMLSS","thickness","lh_precentral_thickness",100,-0.00275563650008679,0.944211327762058
"GAMLSS","area","lh_precuneus_area",100,0.000131885310579367,1.14369713715308
"GAMLSS","thickness","lh_precuneus_thickness",100,-0.00033572190009346,0.816230419458107
"GAMLSS","area","lh_rostralanteriorcingulate_area",100,-3.95341540304439e-05,1.11788851564959
"GAMLSS","thickness","lh_rostralanteriorcingulate_thickness",100,0.00139850020038103,1.0184367628847
"GAMLSS","area","lh_rostralmiddlefrontal_area",100,0.00209184659439912,0.988780517708402
"GAMLSS","thickness","lh_rostralmiddlefrontal_thickness",100,-0.00077639316906756,1.0949788720571
"GAMLSS","area","lh_superiorfrontal_area",100,0.00117427976186535,1.12932065956701
"GAMLSS","thickness","lh_superiorfrontal_thickness",100,0.000800254003153411,1.06108170200769
"GAMLSS","area","lh_superiorparietal_area",100,0.000445450710746383,1.22896224523049
"GAMLSS","thickness","lh_superiorparietal_thickness",100,-0.00195093634952702,0.983771903120972
"GAMLSS","area","lh_superiortemporal_area",100,-0.000121494671463083,0.966209871384054
"GAMLSS","thickness","lh_superiortemporal_thickness",100,0.00113729690612062,0.862355608370887
"GAMLSS","area","lh_supramarginal_area",100,-0.000586914535676157,1.1994183674959
"GAMLSS","thickness","lh_supramarginal_thickness",100,-0.000991546674682547,0.913946155845863
"GAMLSS","area","lh_temporalpole_area",100,0.00216705533745939,1.26071219636742
"GAMLSS","thickness","lh_temporalpole_thickness",100,0.000902113221758145,0.918474522361048
"GAMLSS","area","lh_transversetemporal_area",100,0.000422520918788242,0.919689410741129
"GAMLSS","thickness","lh_transversetemporal_thickness",100,-0.00305895219310523,1.04359302431172
"GAMLSS","area","rh_bankssts_area",100,-0.000906788438193225,0.977885797134777
"GAMLSS","thickness","rh_bankssts_thickness",100,-0.0048695624700118,1.35099470065857
"GAMLSS","area","rh_caudalanteriorcingulate_area",100,0.00279500317663104,0.969935343117417
"GAMLSS","thickness","rh_caudalanteriorcingulate_thickness",100,-0.00367886063906579,1.15134880480966
"GAMLSS","area","rh_caudalmiddlefrontal_area",100,0.00234694377407426,0.866016327512199
"GAMLSS","thickness","rh_caudalmiddlefrontal_thickness",100,0.000565825153104576,0.927224181517912
"GAMLSS","area","rh_cuneus_area",100,0.00516265891413385,1.04571701959087
"GAMLSS","thickness","rh_cuneus_thickness",100,-0.0001054188616314,0.975681127465879
"GAMLSS","area","rh_entorhinal_area",100,-0.00250470027465811,0.998727357292617
"GAMLSS","thickness","rh_entorhinal_thickness",100,0.00168204761596054,1.07647038175183
"GAMLSS","area","rh_frontalpole_area",100,0.00433711107971544,1.24895049296317
"GAMLSS","thickness","rh_frontalpole_thickness",100,-0.00348421011239454,1.28916034099498
"GAMLSS","area","rh_fusiform_area",100,-0.00279298931327604,1.06599594404
"GAMLSS","thickness","rh_fusiform_thickness",100,0.000113703154941854,1.16412459169857
"GAMLSS","area","rh_inferiorparietal_area",100,0.00356214334215033,1.15147378317809
"GAMLSS","thickness","rh_inferiorparietal_thickness",100,-0.00213896166128872,0.945902263372111
"GAMLSS","area","rh_inferiortemporal_area",100,-0.00180344091062205,0.948709798220786
"GAMLSS","thickness","rh_inferiortemporal_thickness",100,-0.00452001617982563,1.00504239209249
"GAMLSS","area","rh_insula_area",100,-0.000803204999047746,1.10500386026858
"GAMLSS","thickness","rh_insula_thickness",100,-0.000706076495884923,1.17283311586689
"GAMLSS","area","rh_isthmuscingulate_area",100,0.00309579747165707,1.26333050722189
"GAMLSS","thickness","rh_isthmuscingulate_thickness",100,-0.000987464358963706,1.21949280981005
"GAMLSS","area","rh_lateraloccipital_area",100,0.00411069636675396,1.14725180372987
"GAMLSS","thickness","rh_lateraloccipital_thickness",100,-0.00566776987500495,0.98090185723307
"GAMLSS","area","rh_lateralorbitofrontal_area",100,0.000905102862851431,1.47695718550967
"GAMLSS","thickness","rh_lateralorbitofrontal_thickness",100,-0.00450267128172744,1.12322314462655
"GAMLSS","area","rh_lingual_area",100,0.00183258159338831,1.17470281272266
"GAMLSS","thickness","rh_lingual_thickness",100,-0.00122439674007704,1.21560314700607
"GAMLSS","area","rh_medialorbitofrontal_area",100,0.00138635393035882,1.1548207770989
"GAMLSS","thickness","rh_medialorbitofrontal_thickness",100,-0.00332086865065126,1.18485750215008
"GAMLSS","area","rh_middletemporal_area",100,-0.000641042702903544,1.07445844254194
"GAMLSS","thickness","rh_middletemporal_thickness",100,-0.00332672008881884,1.00284052904961
"GAMLSS","area","rh_paracentral_area",100,0.000414146137356106,1.1150586750705
"GAMLSS","thickness","rh_paracentral_thickness",100,-0.00376876961676055,1.02105841210993
"GAMLSS","area","rh_parahippocampal_area",100,0.00185787593558761,0.78538138833269
"GAMLSS","thickness","rh_parahippocampal_thickness",100,0.00129157604341761,1.02560347979028
"GAMLSS","area","rh_parsopercularis_area",100,-0.00299460286268574,1.0929703727159
"GAMLSS","thickness","rh_parsopercularis_thickness",100,0.0020826616963849,0.941144351314846
"GAMLSS","area","rh_parsorbitalis_area",100,-0.00340121591582921,1.15641093296162
"GAMLSS","thickness","rh_parsorbitalis_thickness",100,0.000484325936613862,0.980094052206901
"GAMLSS","area","rh_parstriangularis_area",100,0.00150930563339858,0.966050493333121
"GAMLSS","thickness","rh_parstriangularis_thickness",100,0.00262120979906771,1.00727119470885
"GAMLSS","area","rh_pericalcarine_area",100,0.00720449452880423,1.05660568875851
"GAMLSS","thickness","rh_pericalcarine_thickness",100,-0.00237827245555384,1.32354633891342
"GAMLSS","area","rh_postcentral_area",100,0.00306886100500392,0.950965660415396
"GAMLSS","thickness","rh_postcentral_thickness",100,-0.000475556577861088,0.953886136325799
"GAMLSS","area","rh_posteriorcingulate_area",100,0.000275263508874502,1.12701826748256
"GAMLSS","thickness","rh_posteriorcingulate_thickness",100,-0.00154889404427993,1.01966632598433
"GAMLSS","area","rh_precentral_area",100,0.00385773781656438,1.03725642861693
"GAMLSS","thickness","rh_precentral_thickness",100,-0.00272815672084475,0.930126706089146
"GAMLSS","area","rh_precuneus_area",100,-0.00318822659060495,1.19144373454406
"GAMLSS","thickness","rh_precuneus_thickness",100,0.00198492088174223,0.955427708567631
"GAMLSS","area","rh_rostralanteriorcingulate_area",100,0.00194841081061121,1.01060593871675
"GAMLSS","thickness","rh_rostralanteriorcingulate_thickness",100,0.000922082037801636,0.993492855551474
"GAMLSS","area","rh_rostralmiddlefrontal_area",100,0.000520829660676807,1.12681843072536
"GAMLSS","thickness","rh_rostralmiddlefrontal_thickness",100,-0.00149038960280017,1.22000141957763
"GAMLSS","area","rh_superiorfrontal_area",100,0.000289155110614134,1.04310067482195
"GAMLSS","thickness","rh_superiorfrontal_thickness",100,0.00171091960119839,1.04450772098537
"GAMLSS","area","rh_superiorparietal_area",100,-0.00347688806682271,1.23936566686915
"GAMLSS","thickness","rh_superiorparietal_thickness",100,0.000265665081504555,0.883068814645234
"GAMLSS","area","rh_superiortemporal_area",100,-0.00413056851985214,1.09423282861367
"GAMLSS","thickness","rh_superiortemporal_thickness",100,-0.000241072515234378,0.932726695461927
"GAMLSS","area","rh_supramarginal_area",100,-0.00554439426102051,0.936333167187714
"GAMLSS","thickness","rh_supramarginal_thickness",100,-0.00336313914116851,0.99034782894806
"GAMLSS","area","rh_temporalpole_area",100,-5.08935873137832e-06,1.06467035507495
"GAMLSS","thickness","rh_temporalpole_thickness",100,0.000714475223199935,0.871823869964453
"GAMLSS","area","rh_transversetemporal_area",100,-0.00290893205981241,0.958300458517634
"GAMLSS","thickness","rh_transversetemporal_thickness",100,-0.00348743668280928,1.00447420849659
"GAMLSS","subcortical","Right-Accumbens-area",100,-0.00231751200163472,1.19125956451735
"GAMLSS","subcortical","Right-Amygdala",100,-0.000818551522202087,1.0241479646075
"GAMLSS","subcortical","Right-Caudate",100,-0.00208059240887142,0.987470588080359
"GAMLSS","subcortical","Right-Hippocampus",100,0.000991681445443611,1.10890031008735
"GAMLSS","subcortical","Right-Pallidum",100,-0.00159631069704925,1.34715609470103
"GAMLSS","subcortical","Right-Putamen",100,-0.00238198170902474,1.03960262475446
"GAMLSS","subcortical","Right-Thalamus",100,0.00301655123058986,1.41162217302223
