measure,region,GAMLSS,MFP,diff_SD
thickness,lh_superiortemporal_thickness,0.8536484488068162,0.9698780838292369,-0.11622963502242067
thickness,lh_supramarginal_thickness,0.8980006502001782,0.9881142920519002,-0.09011364185172199
thickness,lh_temporalpole_thickness,0.901946304487893,0.9267333224368156,-0.024787017948922574
thickness,lh_transversetemporal_thickness,1.015804050777145,1.0309218401625901,-0.015117789385445057
thickness,rh_bankssts_thickness,1.3242478041438717,1.3278579843755733,-0.0036101802317016762
thickness,rh_caudalanteriorcingulate_thickness,1.1378798316054528,1.1116900634736477,0.02618976813180507
thickness,rh_caudalmiddlefrontal_thickness,0.9028926652948095,0.8569058621338687,0.04598680316094084
thickness,rh_cuneus_thickness,0.9593979809711156,0.9727138105437808,-0.013315829572665194
thickness,rh_entorhinal_thickness,1.0651872184400022,1.0871988276856237,-0.02201160924562151
thickness,rh_frontalpole_thickness,1.2523364290167402,1.1781475369946854,0.07418889202205481
thickness,rh_fusiform_thickness,1.1440880580461794,1.3081889981148587,-0.16410094006867926
thickness,rh_inferiorparietal_thickness,0.9382155387696912,1.0185582561163817,-0.08034271734669052
thickness,rh_inferiortemporal_thickness,0.9893049850458623,1.010633871814458,-0.02132888676859579
thickness,rh_insula_thickness,1.1410898851135705,1.095105292265443,0.045984592848127503
thickness,rh_isthmuscingulate_thickness,1.2123328521017402,1.2710113290815446,-0.05867847697980433
thickness,rh_lateraloccipital_thickness,0.9375341053625328,0.8949792421974788,0.04255486316505397
thickness,rh_lateralorbitofrontal_thickness,1.093031391064023,1.0590923014376943,0.033939089626328744
thickness,rh_lingual_thickness,1.2095484511618109,1.2590246362269213,-0.04947618506511042
thickness,rh_medialorbitofrontal_thickness,1.1383272861121756,1.0875075093434072,0.050819776768768365
thickness,rh_middletemporal_thickness,0.9888313315185043,0.9654499757584146,0.023381355760089706
thickness,rh_paracentral_thickness,1.0028471871233273,1.0370627852986367,-0.03421559817530939
